,state,date,value
107,NJ,20151002,4293.4148101629635
108,NJ,20151003,5977.121664361111
109,NJ,20151004,1903.5176731388888
110,NJ,20151005,20754.60116015999
111,NJ,20151006,12885.652476164578
112,NJ,20151007,14654.34668524614
113,NJ,20151008,13686.570760861114
114,NJ,20151009,12957.421997246529
115,NJ,20151010,8214.369404644289
116,NJ,20151011,13270.270612268792
117,NJ,20151012,11230.833790050412
118,NJ,20151013,11618.5797732806
119,NJ,20151014,17414.89094284835
120,NJ,20151015,14344.399877364038
121,NJ,20151016,14114.058795239038
122,NJ,20151017,12481.558529010868
123,NJ,20151018,9736.113259284208
124,NJ,20151019,9504.686973903259
125,NJ,20151020,10177.259460421175
126,NJ,20151021,11803.40248767628
127,NJ,20151022,13266.0556335
128,NJ,20151023,16915.553642123647
129,NJ,20151024,7148.044013212191
130,NJ,20151025,14851.360905846172
131,NJ,20151026,19706.87295535908
132,NJ,20151027,17714.570905694847
133,NJ,20151028,11098.673696972222
134,NJ,20151029,6605.895894049999
135,NJ,20151030,8754.546515757755
136,NJ,20151031,3942.57261825
137,NJ,20151101,9975.652106973052
138,NJ,20151102,6545.028571222222
139,NJ,20151103,8322.441426797808
140,NJ,20151104,4666.8936389097225
141,NJ,20151105,21483.372742719108
142,NJ,20151106,24911.576211565174
143,NJ,20151107,9194.23524932986
144,NJ,20151108,7219.067034222222
145,NJ,20151109,20909.375455470992
146,NJ,20151110,29736.31729943712
147,NJ,20151111,21035.249605809066
148,NJ,20151112,20977.85504598708
149,NJ,20151113,21734.45085778517
150,NJ,20151114,14541.967975957668
151,NJ,20151115,4524.379899549955
152,NJ,20151116,10910.147773500928
153,NJ,20151117,14750.616785889575
154,NJ,20151118,8082.793856648803
155,NJ,20151119,18009.8054233174
156,NJ,20151120,10340.5720384289
157,NJ,20151121,12847.625105165791
158,NJ,20151122,13133.95061848621
159,NJ,20151123,17700.810722270617
160,NJ,20151124,15392.94962311683
161,NJ,20151125,7256.844987602125
162,NJ,20151126,8095.649138090072
163,NJ,20151127,11652.861070545572
164,NJ,20151128,10610.702577728514
165,NJ,20151129,17994.260217508738
166,NJ,20151130,16176.972972819322
167,NJ,20151201,18357.80369319481
168,NJ,20151202,17961.390892707273
169,NJ,20151203,19292.86103778486
170,NJ,20151204,15578.759063287036
171,NJ,20151205,11675.988116122222
172,NJ,20151206,15356.41665575278
173,NJ,20151207,23029.206478566583
174,NJ,20151208,20280.91003300689
175,NJ,20151209,18644.834657426352
176,NJ,20151210,10503.738123402776
177,NJ,20151211,20408.77029085756
178,NJ,20151212,22989.304239570887
179,NJ,20151213,23662.768665692598
180,NJ,20151214,40524.81859267583
181,NJ,20151215,29344.977119350566
182,NJ,20151216,12806.966534038309
183,NJ,20151217,24127.159506417025
184,NJ,20151218,24647.364747506337
185,NJ,20151219,18121.148966387285
186,NJ,20151220,20812.91547280109
187,NJ,20151221,16540.194143110315
188,NJ,20151222,19494.64135725721
189,NJ,20151223,29586.98224074221
190,NJ,20151224,28575.552564299385
191,NJ,20151225,19847.770852712423
192,NJ,20151226,11035.346509880212
193,NJ,20151227,11804.754266880926
194,NJ,20151228,15185.49863852584
195,NJ,20151229,17762.431545181
196,NJ,20151230,17437.41719025185
197,NJ,20151231,11229.607977564516
198,NJ,20160101,12954.025527117405
199,NJ,20160102,21430.47265371242
200,NJ,20160103,20041.631751057124
201,NJ,20160104,20886.69353106575
202,NJ,20160105,19700.983559423817
203,NJ,20160106,45319.70688647126
204,NJ,20160107,27064.568044220956
205,NJ,20160108,33094.5904271023
206,NJ,20160109,31114.5463643058
207,NJ,20160110,20938.578203847068
208,NJ,20160111,25512.063303745424
209,NJ,20160112,23667.517385452327
210,NJ,20160113,19164.739488795985
211,NJ,20160114,26659.227638617318
212,NJ,20160115,27504.1869169591
213,NJ,20160116,30219.41010438143
214,NJ,20160117,23583.9302349829
215,NJ,20160118,24726.97072121644
216,NJ,20160119,19457.71682334997
217,NJ,20160120,29033.40620646156
218,NJ,20160121,21753.50766309569
219,NJ,20160122,23373.213438073
220,NJ,20160123,20056.27123565011
221,NJ,20160124,24412.058085425302
222,NJ,20160125,19878.827989105703
223,NJ,20160126,25990.193435402813
224,NJ,20160127,33473.0090456944
225,NJ,20160128,34033.720515286535
226,NJ,20160129,37981.55213734576
227,NJ,20160130,37857.3145852839
228,NJ,20160131,28251.63091889852
229,NJ,20160201,49952.06225893989
230,NJ,20160202,49200.515067842854
231,NJ,20160203,28049.232510905767
232,NJ,20160204,45112.861433565566
233,NJ,20160205,22612.665946185287
234,NJ,20160206,21401.193869268216
235,NJ,20160207,36552.152273735504
236,NJ,20160208,64315.40182212862
237,NJ,20160209,48073.43759666308
238,NJ,20160210,34916.31549835877
239,NJ,20160211,40699.038505035955
240,NJ,20160212,36506.00913909111
241,NJ,20160213,26215.99744507252
242,NJ,20160214,33934.648398483005
243,NJ,20160215,47747.99957086493
244,NJ,20160216,43429.62088470376
245,NJ,20160217,53357.88071361816
246,NJ,20160218,45567.52587435214
247,NJ,20160219,42040.093222035735
248,NJ,20160220,23343.973219988824
249,NJ,20160221,23252.78081615756
250,NJ,20160222,38318.410639639515
251,NJ,20160223,25986.863367297843
252,NJ,20160224,55590.09709303118
